"Manifesto Agency","2769%","$8.1m","Advertising & Marketing","Oregon","Portland OR",,22,
"ACUMEN Capital","2752%","$12.4m","Financial Services","District of Columbia","Washington DC",,42,
"NORTHSTARGROUP","2744%","$3.4m","IT Services","Maryland","Washington DC",,38,
"Engage PEO","2743%","$14.2m","Human Resources","Florida","Miami",,85,
"Mosquito Joe","2700%","$8.1m","Consumer Products & Services","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,47,
"Lexicon Health","2676%","$3.5m","Media","California","San Jose",,8,
"Axe Wellness","2645%","$11.6m","Health","Tennessee","Nashville",,30,
"Evoke Neuroscience","2638%","$3.1m","Health","New York","New York City",,20,
"Project Repat","2637%","$3.9m","Retail","Massachusetts","Boston",,3,
"Hermitage Inn Real Estate Holding Company","2623%","$41.7m","Travel & Hospitality","Vermont",,,500,
"Organifi","2609%","$5.5m","Health","California","San Diego",,30,
"Pop! Promos","2608%","$3.5m","Advertising & Marketing","Pennsylvania","Philadelphia",,14,
"NETWORK OPTIX","2592%","$3.5m","Software","California","Los Angeles",,27,
"Boost Marketing Group","2559%","$8.3m","Advertising & Marketing","Michigan","Grand Rapids-Wyoming MI",,4,
"Netvious","2537%","$4m","IT Services","Texas","Dallas",,5,
"KnowBe4","2528%","$6.8m","Security","Florida","Tampa",,75,
"Chameleon Cold-Brew","2507%","$9m","Food & Beverage","Texas","Austin",,25,
"PrinterLogic","2480%","$10m","Software","Utah","St. George UT",,80,
"YourPark.com","2461%","$3m","Real Estate","Texas","Austin",,12,
"zSpace","2451%","$8.6m","Education","California","San Jose",,90,
"CrowdStrike","2429%","$27.3m","Security","California","Los Angeles",,303,
"Razor Consulting Solutions","2426%","$3m","Business Products & Services","North Dakota",,,42,
"Lancera","2424%","$5.3m","Software","Utah","Provo-Orem UT",,220,
"Touch of Modern","2424%","$81.2m","Consumer Products & Services","California","San Francisco",,136,
"Leadpages","2392%","$16.2m","IT Services","Minnesota","Minneapolis",,154,
"LifeTree Manufacturing","2375%","$10.8m","Food & Beverage","Arizona","Phoenix",,76,
"Handsome Brook Farm - Pasture Raised Eggs","2371%","$6.8m","Food & Beverage","New York",,,12,
"SlideBelts","2365%","$2.6m","Retail","California","Sacramento CA",,14,
"Phoenix Energy Group","2355%","$5.1m","Energy","New York","New York City",,6,
"Occam's Paradigm","2355%","$2.5m","Business Products & Services","New York","New York City",,11,
"CPSG Partners","2346%","$43.4m","IT Services","Texas","Dallas",,225,
"CAPITAL ADVANCE SOLUTIONS","2328%","$4.8m","Financial Services","New Jersey","New York City",,40,
"Missouri Sun Solar","2327%","$9.8m","Energy","Missouri","Springfield MO",,88,
"Greenlight Staffing Group","2306%","$3.2m","Human Resources","Florida","Miami",,18,
"One Stop Equine Shop","2296%","$8.4m","Retail","Illinois","Chicago",,10,
"Advanced Project Consulting","2291%","$6.4m","Government Services","Georgia","Warner Robins GA",,96,
"Hospicelink","2275%","$41.7m","Health","Alabama","Birmingham-Hoover AL",,33,
"Empire Flippers","2253%","$4.6m","Business Products & Services","California","Los Angeles",,21,
"Blue Canyon Technologies","2224%","$5.4m","Engineering","Colorado","Boulder CO",,20,
"Bai Brands","2210%","$119.9m","Food & Beverage","New Jersey","Trenton NJ",,263,
"Torrent Consulting","2196%","$2.9m","Business Products & Services","North Carolina","Charlotte",,43,
"PCB Apps","2187%","$14.7m","IT Services","New Jersey","New York City",,150,
"Blueprint Consulting Services","2162%","$22.3m","Business Products & Services","Washington","Seattle",,331,
"Cireson","2152%","$12.1m","Software","California","San Diego",,58,
"The Exterior Company","2119%","$8.3m","Construction","Pennsylvania","Lancaster PA",,20,
"Akston Hughes International","2112%","$3.1m","Retail","Michigan",,,33,
"Florida Premier Realty of the Palm Beaches","2101%","$2.6m","Real Estate","Florida","Miami",,148,
"Knot Standard","2095%","$6.1m","Retail","New York","New York City",,60,
"Clason Point Partners","2093%","$2.5m","Government Services","New York","New York City",,40,
"Developing Awareness","2093%","$4.5m","Advertising & Marketing","Hawaii","Hilo HI",,140,
"Hoosier Hill Farm","2088%","$2.7m","Food & Beverage","Indiana","Fort Wayne IN",,9,
"Apto","2079%","$2.2m","Software","Colorado","Denver",,52,
"Channel Partners Capital","2074%","$2.2m","Financial Services","Minnesota","Minneapolis",,21,
"Alliance Family of Companies","2073%","$28m","Health","Texas","Dallas",,184,
"ABUV Media","2071%","$5.8m","Advertising & Marketing","Nevada","Reno NV",,29,
"LILEE Systems","2071%","$15.4m","Telecommunications","California","San Jose",,122,
"A.M. Staffing Group","2055%","$2.5m","Human Resources","Illinois","Chicago",,1000,
"Seeking Health","2039%","$11.6m","Health","Washington","Bellingham WA",,18,
"ONE3LED","2031%","$4.3m","Energy","Missouri","St. Louis MO-IL",,14,
"Kabbage","2027%","$97.4m","Financial Services","Georgia","Atlanta",,274,
"TRAFFIC","2022%","$2.5m","Advertising & Marketing","Michigan","Detroit",,32,
"Fab Glass and Mirror","2000%","$2.4m","Consumer Products & Services","Ohio","Columbus OH",,30,
"Magoosh","1991%","$7m","Education","California","San Francisco",,24,
"BrandNex.com","1989%","$2.1m","Advertising & Marketing","Texas","Houston",,20,
"Climate Control Experts","1953%","$4.7m","Construction","Nevada","Las Vegas-Henderson-Paradise NV",,30,
"My Home Group Real Estate","1953%","$10.5m","Real Estate","Arizona","Phoenix",,478,
"Connect Assistance","1942%","$2m","Insurance","Puerto Rico","San Juan-Carolina-Caguas PR",,34,
"Shopper Approved","1939%","$2.7m","Software","Utah","Ogden-Clearfield UT",,8,
"Commodore Leasing","1933%","$3.6m","Retail","Tennessee","Nashville",,40,
"ServRx","1929%","$47.2m","Health","Arizona","Phoenix",,52,
"Global Lending Services","1927%","$70.6m","Financial Services","Georgia","Atlanta",,153,
"HealthSparq","1914%","$20.2m","Health","Oregon","Portland OR",,190,
"Idea Buyer","1912%","$2.2m","Consumer Products & Services","Ohio","Columbus OH",,25,
"Optamark","1906%","$4.5m","Business Products & Services","Massachusetts","Providence-Warwick RI-MA",,31,
"Drawbridge","1903%","$66m","Advertising & Marketing","California","San Francisco",,110,
"LLB Enterprises","1900%","$2m","Business Products & Services","Virginia","Washington DC",,12,
"Trantor","1900%","$10m","Software","California","San Francisco",,350,
"Movable Ink","1897%","$18m","Advertising & Marketing","New York","New York City",,96,
"GTUIT","1894%","$10.9m","Energy","Montana","Billings MT",,37,
"Pipedrive OU","1894%","$9m","Software","New York","New York City",,125,
"Health Warrior","1887%","$9.8m","Food & Beverage","Virginia","Richmond VA",,30,
"Chicken & Rice Guys","1883%","$2.6m","Food & Beverage","Massachusetts","Boston",,60,
"RPM","1874%","$26.4m","Logistics & Transportation","Michigan","Detroit",,42,
"Payline Data","1866%","$4.9m","Financial Services","Illinois","Chicago",,30,
"Sunpro Solar","1866%","$19.2m","Construction","Louisiana","New Orleans-Metairie LA",,50,
"Fire Line Services","1859%","$15m","Construction","Texas","Dallas",,47,
"NextGen Federal Systems","1855%","$4.4m","IT Services","West Virginia","Morgantown WV",,43,
"Darkblade Systems","1848%","$4m","Government Services","Virginia","Washington DC",,22,
"GREEN CREATIVE","1842%","$39.5m","Manufacturing","California","San Francisco",,45,
"C3 Group","1838%","$3.3m","Insurance","Colorado","Denver",,14,
"Preting Consulting","1827%","$5.2m","Government Services","Virginia","Washington DC",,30,
"MOD Mission Critical","1816%","$2.9m","IT Services","Colorado","Denver",,3,
"Opteamix","1809%","$7.2m","IT Services","Colorado","Denver",,183,
"DA Defense Logistics HQ","1809%","$19.1m","Logistics & Transportation","Texas","El Paso TX",,261,
"Tergus Pharma","1805%","$9.4m","Health","North Carolina","Durham-Chapel Hill NC",,62,
"nCino","1805%","$13.1m","Software","North Carolina","Wilmington NC",,185,
"WePay","1795%","$57.8m","Software","California","San Francisco",,136,
"Pro-Sphere Tek","1795%","$45.7m","IT Services","Virginia","Washington DC",,245,
"Aegis Corps","1794%","$4.2m","Government Services","Virginia","Washington DC",,42,
"Prairie Landworks","1772%","$4.2m","Construction","Kansas","McPherson KS",,28,
"Kohana Coffee","1767%","$7.4m","Food & Beverage","Texas","Austin",,27,
"National Medtrans Network","1765%","$73.7m","Health","New York","New York City",,169,
"Sophus IT Solutions","1744%","$3.3m","IT Services","Washington","Seattle",,49,
"CallTrackingMetrics","1742%","$5m","Software","Maryland","Baltimore",,11,
"Consumer Fire Products","1741%","$2m","Security","Oregon","Eugene OR",,10,
"Land Gorilla","1726%","$4.5m","Construction","California","San Luis Obispo-Paso Robles-Arroyo Grande CA",,50,
"Shop Melee","1724%","$2.3m","Consumer Products & Services","Illinois","Chicago",,35,
"Sound Rink","1714%","$3.2m","Consumer Products & Services","Maine","Portland-South Portland ME",,7,
"Rocky Mountain Barrel Company","1692%","$6.1m","Food & Beverage","Colorado","Denver",,10,
"Avadim Technologies","1675%","$3.6m","Health","North Carolina","Asheville NC",,96,
"LONECONE.com","1672%","$2.9m","Retail","Idaho","Boise City ID",,2,
"Apeks Supercritical","1662%","$12m","Manufacturing","Ohio","Columbus OH",,30,
"L2F","1654%","$2.7m","Engineering","California","San Francisco",,23,
"Humm Kombucha","1644%","$4m","Food & Beverage","Oregon","Prineville OR",,36,
"Influence & Co.","1643%","$4.2m","Advertising & Marketing","Missouri","Columbia MO",,52,
"AKESOgen","1616%","$8.9m","Health","Georgia","Atlanta",,20,
"MasteryPrep","1612%","$4.3m","Education","Louisiana","Baton Rouge LA",,100,
"Primal Health","1612%","$11.5m","Health","Texas","Dallas",,25,
"Stratton & Bratt","1609%","$7.7m","Construction","Utah","Provo-Orem UT",,100,
"Fathom Realty","1604%","$29.6m","Real Estate","Texas","Dallas",,20,
"Stability Healthcare","1598%","$8.8m","Health","California","Los Angeles",,120,
"B&D Consulting","1598%","$7.6m","IT Services","Maryland","Hagerstown-Martinsburg MD-WV",,45,
"TENICA and Associates","1591%","$9.1m","Government Services","Virginia","Washington DC",,86,
"KPG Healthcare","1590%","$7m","Health","California","Los Angeles",,201,
"ANALYTICA","1588%","$9.6m","IT Services","District of Columbia","Washington DC",,51,
"RightBrain Networks","1586%","$2.5m","Software","Michigan","Ann Arbor MI",,23,
"Casino Cash Trac","1575%","$2.4m","Software","Oklahoma","Tulsa OK",,11,
"LinkedSelling","1574%","$2.4m","Advertising & Marketing","Missouri","St. Louis MO-IL",,22,
"Her Hair Company","1570%","$4.8m","Consumer Products & Services","Indiana","Indianapolis IN",,4,
"Hosted Records","1557%","$3.3m","Government Services","Virginia","Washington DC",,49,
"freshbenies","1555%","$5.7m","Health","Texas","Dallas",,11,
"Tresata","1551%","$5.4m","Software","North Carolina","Charlotte",,40,
"ChiroFusion","1545%","$3.6m","Software","Delaware","Philadelphia",,12,
"Applied Thought","1541%","$4.4m","IT Services","Florida","Orlando FL",,55,
"SmartBox Web Marketing","1534%","$4m","Advertising & Marketing","Indiana","Louisville/Jefferson County KY-IN",,58,
"Orion","1531%","$5.9m","IT Services","Georgia","Atlanta",,39,
"Florida Solar One","1524%","$2m","Energy","Florida","Miami",,1,
"Auric Solar","1521%","$28.8m","Energy","Utah","Salt Lake City",,72,
"Jane","1510%","$83.8m","Retail","Utah","Provo-Orem UT",,62,
"Double A Events","1502%","$4.1m","Advertising & Marketing","Texas","Austin",,7,
"CloudSmartz","1500%","$4.5m","IT Services","New York","Rochester NY",,10,
"Danny Wimmer Presents","1496%","$40.6m","Consumer Products & Services","California","Los Angeles",,15,
"CRM Science","1493%","$2.7m","IT Services","Pennsylvania","Philadelphia",,15,
"Edgemont Pharmaceuticals","1493%","$26.6m","Health","Texas","Austin",,6,
"Synartis Health","1490%","$2.1m","Health","Georgia","Atlanta",,15,
"Carved","1480%","$2.5m","Consumer Products & Services","Indiana","Elkhart-Goshen IN",,14,
"FormSwift","1470%","$13.6m","Software","California","San Francisco",,40,
"Ruby Has Fulfillment","1458%","$3.3m","Logistics & Transportation","New York","New York City",,70,
"RobotLAB","1429%","$5.3m","Software","California","San Francisco",,8,
"VetInternetCo.com","1426%","$9.5m","Retail","Alabama","Albertville AL",,12,
"Bowlmor AMF","1422%","$565.7m","Food & Beverage","New York","New York City",,7756,
"PSG Construction","1419%","$24.3m","Construction","Georgia","Atlanta",,23,
"Flowonix Medicial","1417%","$9.5m","Health","New Jersey","New York City",,60,
"ReliaTrain","1413%","$2m","Engineering","Michigan","Detroit",,17,
"Parse.ly","1406%","$4m","Business Products & Services","New York","New York City",,45,
"American Pillowcase","1400%","$6.5m","Retail","Virginia","Richmond VA",,1,
"Private Label Skin","1397%","$21m","Manufacturing","Florida","Tampa",,65,
"Smart Energy Today","1386%","$13.4m","Energy","Washington","Olympia-Tumwater WA",,100,
"Survwest","1384%","$2.7m","Engineering","Colorado","Denver",,16,
"iLendingDIRECT powered by Fleet Financial","1382%","$245.3m","Financial Services","Colorado","Denver",,140,
"The Fulfillment Lab","1375%","$8.4m","Logistics & Transportation","Florida","Tampa",,38,
"Five Lakes Professional Services","1364%","$2m","Business Products & Services","Ohio","Cleveland",,27,
"Advice Media","1360%","$7.3m","Advertising & Marketing","Utah","Summit Park UT",,65,
"TaskUs","1355%","$53.6m","Business Products & Services","California","Los Angeles",,4900,
"Spikeball","1354%","$6.9m","Consumer Products & Services","Illinois","Chicago",,8,
"Arcweb Technologies","1354%","$3.8m","Software","Pennsylvania","Philadelphia",,25,
"Vantage Point","1352%","$27.3m","Computer Hardware","Wisconsin","Chicago",,35,
"Metamarkets","1351%","$10.2m","Advertising & Marketing","California","San Francisco",,36,
"OneStream Software","1345%","$14m","Software","Michigan","Detroit",,50,
"SmartyPants Vitamins","1339%","$11.9m","Health","California","Los Angeles",,14,
"Potomac River Holdings","1337%","$16.6m","Retail","Virginia","Washington DC",,18,
"VOR Technology","1321%","$2.4m","Government Services","Maryland","Baltimore",,37,
"Nearpod","1320%","$3.2m","Education","Florida","Miami",,40,
"WebME Technologies / WMT","1318%","$2m","Software","Florida","Miami",,15,
"PagerDuty","1303%","$28.1m","Software","California","San Francisco",,186,
"LicenseLogix","1300%","$5.7m","Business Products & Services","New York","New York City",,32,
"Maer Construction","1289%","$4.4m","Construction","Florida","Jacksonville FL",,28,
"Marijuana Business Daily","1288%","$7m","Media","Colorado","Providence-Warwick RI-MA",,17,
"Total Technology Solutions Group","1287%","$12.9m","Business Products & Services","Illinois","Chicago",,41,
"Welltok","1285%","$26.2m","Health","Colorado","Denver",,346,
"Transitions Commute Solutions","1281%","$3.8m","Logistics & Transportation","Florida","Orlando FL",,143,
"Skyrocket Toys","1277%","$110.5m","Consumer Products & Services","California","Los Angeles",,90,
"Aspirent Consulting","1277%","$6m","IT Services","Georgia","Atlanta",,30,
"GuidePoint Security","1276%","$111.1m","Security","Virginia","Washington DC",,139,
"Panthera Technologies","1270%","$2.3m","IT Services","Maryland","Baltimore",,12,
"Vighter Medical Group","1267%","$4m","Government Services","Minnesota","Winona MN",,92,
"Whim Hospitality","1260%","$7.4m","Food & Beverage","Texas",,,95,
"Axis Global Enterprises","1237%","$6.1m","Construction","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,27,
"GrowersHouse.com","1233%","$17.2m","Retail","Arizona","Tucson AZ",,23,
"Pixability","1226%","$9.7m","Advertising & Marketing","Massachusetts","Boston",,58,
"The Rian Group Real Estate","1223%","$5.6m","Real Estate","Oregon","Portland OR",,48,
"Saatva","1221%","$70.4m","Retail","Connecticut","New York City",,117,
"Optima Tax Relief","1214%","$53.9m","Financial Services","California","Los Angeles",,376,
"Ashby Law","1214%","$2m","Consumer Products & Services","Washington","Kennewick-Richland WA",,28,
"Enovachem","1209%","$21.1m","Health","California","Los Angeles",,25,
"1 Source Business Solutions","1206%","$78.4m","Human Resources","Utah","Salt Lake City",,14,
"Ambassador","1202%","$3.3m","Software","Michigan","Detroit",,42,
"Wellbe","1201%","$2.1m","Health","Wisconsin","Madison WI",,23,
"Proove Biosciences","1195%","$17.8m","Health","California","Los Angeles",,205,
"SSi","1194%","$12m","Human Resources","Virginia","Virginia Beach-Norfolk-Newport News VA-NC",,125,
"Evoke Brand Strategies","1183%","$2m","Advertising & Marketing","Wisconsin","Madison WI",,25,
"Oasys","1182%","$5m","Government Services","Virginia","Washington DC",,26,
"ClearSource","1181%","$5.7m","Business Products & Services","Utah","Salt Lake City",,178,
"GENERAL MATERIALS","1176%","$3.2m","Business Products & Services","Georgia","Atlanta",,6,
"Food52","1173%","$11.2m","Retail","New York","New York City",,54,
"Signpost","1173%","$8.8m","Advertising & Marketing","New York","New York City",,300,
"Modern Vintage Boutique","1165%","$5.5m","Retail","Utah","Salt Lake City",,50,
"NGCI","1154%","$8m","IT Services","District of Columbia","Washington DC",,35,
"Karna","1147%","$14.9m","Government Services","Georgia","Atlanta",,170,
"NEKTER JUICE BAR","1146%","$36.7m","Food & Beverage","California","Los Angeles",,698,
"Lighter Capital","1144%","$4.3m","Financial Services","Washington","Seattle",,23,
"Kargo","1141%","$94.1m","Advertising & Marketing","New York","New York City",,169,
"eAssist Dental Solutions","1138%","$4m","Health","Wyoming","Cheyenne WY",,15,
"Freedom Solar Power","1134%","$15.9m","Energy","Texas","Austin",,60,
"OTR Capital","1134%","$11m","Financial Services","Georgia","Atlanta",,75,
"Kwest Enterprises","1123%","$3.7m","Construction","Alabama","Montgomery AL",,5,
"DirectDefense","1121%","$3.5m","Security","Colorado","Denver",,19,
"Edifice Solutions","1121%","$31.4m","Government Services","Maryland","Washington DC",,82,
"The Newsletter Pro","1119%","$3.8m","Advertising & Marketing","Idaho","Boise City ID",,40,
"Midwest Corporate Credit","1119%","$3.6m","Financial Services","Illinois","Chicago",,18,
"Relumination","1118%","$3.9m","Energy","Arizona","Phoenix",,8,
"Quick Bridge Funding","1114%","$48.8m","Financial Services","California","Los Angeles",,90,
"Influenster","1105%","$7.2m","Advertising & Marketing","New York","New York City",,30,
"Davis Defense Group","1102%","$30.9m","Government Services","Virginia","Washington DC",,508,
"Status Labs","1099%","$5.3m","Advertising & Marketing","Texas","Austin",,29,
"Rafael Marrero and Company","1082%","$2.5m","Business Products & Services","Florida","Miami",,50,
"Windsor Circle","1081%","$3.3m","Software","North Carolina","Durham-Chapel Hill NC",,72,
"Palo Media","1078%","$2.3m","Advertising & Marketing","Massachusetts","Boston",,5,
"Legacybox","1076%","$9.6m","Consumer Products & Services","Tennessee","Chattanooga TN-GA",,110,
"Real Estate Expert Advisors","1075%","$1.6m","Real Estate","Georgia","Atlanta",,18,
"Sooryen Technologies","1074%","$4m","IT Services","New Jersey","New York City",,50,
"Access Point Financial","1073%","$30.5m","Financial Services","Georgia","Atlanta",,49,
"Cloud Software","1072%","$2.1m","IT Services","Arizona","Phoenix",,27,
"Pharmapacks","1071%","$66.6m","Retail","New York","New York City",,275,
"Makeup Geek","1072%","$17.5m","Consumer Products & Services","Michigan","Jackson MI",,23,
"Morning Sun Financial Services","1063%","$54.9m","Health","Minnesota","Minneapolis",,35,
"Tag Aero","1059%","$7.9m","Logistics & Transportation","Florida","Orlando FL",,6,
"Fortress Marine Construction","1058%","$4.9m","Construction","Florida","Orlando FL",,60,
"ListenFirst Media","1057%","$4.9m","Business Products & Services","New York","New York City",,31,
"J.W. Logistics","1055%","$107.8m","Logistics & Transportation","Texas","Dallas",,174,
"Myrtle Consulting Group","1052%","$8.9m","Business Products & Services","Texas","Houston",,43,
"Assurity Staffing Group","1051%","$2.6m","IT Services","Georgia","Atlanta",,22,
"Cardlytics","1049%","$77.6m","Advertising & Marketing","Georgia","Atlanta",,366,
"Asanda AVEDA Spa Lounge","1048%","$5.3m","Consumer Products & Services","New York","New York City",,100,
"Swift Capital","1047%","$51.3m","Financial Services","Delaware","Philadelphia",,139,
"Trigent Solutions","1046%","$6.1m","IT Services","Virginia","Washington DC",,32,
"GRAYBOX","1038%","$2.1m","Advertising & Marketing","Oregon","Portland OR",,23,
"EMB","1038%","$3m","Financial Services","California","Los Angeles",,15,
"Edge Home Finance Corporation","1030%","$4.4m","Financial Services","Minnesota","Minneapolis",,60,
"MOD Pizza","1029%","$65.1m","Food & Beverage","Washington","Seattle",,2140,
"Fresh Roasted Coffee","1028%","$3.3m","Food & Beverage","Pennsylvania","Selinsgrove PA",,13,
"Rain City Capital","1025%","$5.9m","Financial Services","Washington","Seattle",,12,
"The Retail Outsource","1023%","$13.1m","Retail","Florida","Miami",,230,
"Social123","1014%","$2.7m","Software","Georgia","Atlanta",,30,
"Converge Consulting","1009%","$2.1m","Education","Iowa","Cedar Rapids IA",,16,
"Signal","1008%","$29m","Software","Illinois","Chicago",,130,
"Green Generation Solutions","1008%","$11m","Engineering","Maryland","Washington DC",,15,
"St. John's Medical","1008%","$4.7m","Health","Florida","Jacksonville FL",,23,
"MedBridge","1005%","$5.9m","Health","Washington","Seattle",,55,
"Payscout","1005%","$10.2m","Financial Services","California","Los Angeles",,35,
"Health Catalyst","998%","$40.9m","Health","Utah","Salt Lake City",,404,
"Tredence","994%","$3.6m","Business Products & Services","California","San Jose",,73,
"ArroHealth","990%","$42.1m","Health","New York","New York City",,675,
"Onit","990%","$3m","Software","Texas","Houston",,26,
"HealthCare.com","987%","$5.3m","Insurance","Florida","Miami",,18,
"Anteris Management Consulting","979%","$4.2m","Business Products & Services","Georgia","Atlanta",,16,
"ImagineAir","979%","$2.8m","Logistics & Transportation","Georgia","Atlanta",,38,
"TNH ADVANCED SPECIALTY PHARMACY","976%","$404.1m","Health","California","Los Angeles",,107,
"Open Systems Technologies","976%","$5.4m","IT Services","Virginia","Washington DC",,75,
"Core and More Technologies","975%","$2.2m","Advertising & Marketing","New Jersey","New York City",,6,
"Perfecta Federal","972%","$5.9m","Government Services","Virginia","Washington DC",,18,
"Warrior Media","969%","$2.2m","Consumer Products & Services","California","Santa Cruz-Watsonville CA",,4,
"Snap36","966%","$4.6m","Business Products & Services","Illinois","Chicago",,21,
